"filename", "language", "Markdown", "Go", "Shell Script", "Docker", "Go Checksum File", "YAML", "Go Module File", "JSON", "JavaScript", "Go Work File", "XML", "Solidity", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/components/providers/mantine-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/components/providers/query-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/components/providers/redux-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/hooks/useUserInfo.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 26, 18, 134
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/store/authSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 4, 9, 124
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/store/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/store/notificationsSlice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 7, 83
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/types/notification.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/types/tracking.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 8, 86
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/types/user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/types/warehouse.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 6, 68
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/utils/api.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 19, 23, 172
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/utils/date-formatter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 2, 21
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/utils/formatters.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 24, 10, 113
"/Users/dog/WebstormProjects/diplom/mvp/frontend/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 1, 46
"/Users/dog/WebstormProjects/diplom/mvp/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"/Users/dog/WebstormProjects/diplom/mvp/go.work", "Go Work File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/dog/WebstormProjects/diplom/mvp/notification-service/Dockerfile", "Docker", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/dog/WebstormProjects/diplom/mvp/notification-service/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/Users/dog/WebstormProjects/diplom/mvp/notification-service/go.sum", "Go Checksum File", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/dog/WebstormProjects/diplom/mvp/notification-service/main.go", "Go", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 35, 271
"/Users/dog/WebstormProjects/diplom/mvp/notification-service/rabbit.go", "Go", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 29, 208
"/Users/dog/WebstormProjects/diplom/mvp/notification-service/swagger.yaml", "YAML", 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 319
"/Users/dog/WebstormProjects/diplom/mvp/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 291
"/Users/dog/WebstormProjects/diplom/mvp/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/dog/WebstormProjects/diplom/mvp/rebuild-and-restart.sh", "Shell Script", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 35
"/Users/dog/WebstormProjects/diplom/mvp/start-system.sh", "Shell Script", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 79
"/Users/dog/WebstormProjects/diplom/mvp/tracking-service-express/Dockerfile", "Docker", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 56
